Branch Name,District,Branch Code
Birbirsa Branch,CENTRAL FINFINE DISTRICT,10155
Birmaji Branch,CENTRAL FINFINE DISTRICT,10455
Bombtera Branch,CENTRAL FINFINE DISTRICT,10064
Catherine Hamlin,CENTRAL FINFINE DISTRICT,10599
Chafe Anane Branch,CENTRAL FINFINE DISTRICT,10508
Churchill Branch,CENTRAL FINFINE DISTRICT,10118
Debasso Branch,CENTRAL FINFINE DISTRICT,
Dolo Bidena Branch,CENTRAL FINFINE DISTRICT,10185
Edao Boru Branch,CENTRAL FINFINE DISTRICT,10621
Finfine Branch,CENTRAL FINFINE DISTRICT,10222
Gojam Berenda Branch,CENTRAL FINFINE DISTRICT,10096
Haile Fida Branch,CENTRAL FINFINE DISTRICT,10428
Hilal Branch,CENTRAL FINFINE DISTRICT,10530
Hurufa Rare Branch,CENTRAL FINFINE DISTRICT,10330
Kebena Branch,CENTRAL FINFINE DISTRICT,10082
Kello Mesqela Branch,CENTRAL FINFINE DISTRICT,10421
Kersa Main Branch,CENTRAL FINFINE DISTRICT,10004
Mechaf Tulama Branch,CENTRAL FINFINE DISTRICT,10619
Merkato Branch,CENTRAL FINFINE DISTRICT,10008
Mesalemia Branch,CENTRAL FINFINE DISTRICT,10125
Meskel Flower Branch,CENTRAL FINFINE DISTRICT,10121
Mina Branch,CENTRAL FINFINE DISTRICT,10566
Oda Branch,CENTRAL FINFINE DISTRICT,10048
Prof. Gebissa,CENTRAL FINFINE DISTRICT,10622
Robale Branch,CENTRAL FINFINE DISTRICT,10424
Sheger Branch,CENTRAL FINFINE DISTRICT,10012
Sinqee Branch,CENTRAL FINFINE DISTRICT,10431
Sora Lume Branch,CENTRAL FINFINE DISTRICT,10395
Sulula Garbi Branch,CENTRAL FINFINE DISTRICT,10249
Ummu-Ayman Branch,CENTRAL FINFINE DISTRICT,10429
Wayyu Branch,CENTRAL FINFINE DISTRICT,10158
Wirtu Merkato Branch,CENTRAL FINFINE DISTRICT,10173
Yai Goro Branch,CENTRAL FINFINE DISTRICT,10509
Yai Gulele Branch,CENTRAL FINFINE DISTRICT,10133
Al-Bukhari Branch,CHIRO DISTRICT,10536
Ancher Branch,CHIRO DISTRICT,10506
Asabot Branch,CHIRO DISTRICT,10586
Baroda Branch,CHIRO DISTRICT,10268
Bedessa Branch,CHIRO DISTRICT,10034
Boke Xiqo Branch,CHIRO DISTRICT,10244
Burqa Dhintu Branch,CHIRO DISTRICT,10588
Chiro Branch,CHIRO DISTRICT,10037
Deder Branch,CHIRO DISTRICT,10085
Dhumuga Branch,CHIRO DISTRICT,10534
Doba Branch,CHIRO DISTRICT,10375
Furkan Branch,CHIRO DISTRICT,10546
Garu Hira Branch,CHIRO DISTRICT,10520
Gelemso Branch,CHIRO DISTRICT,10068
Gemechis Branch,CHIRO DISTRICT,10507
Haro Charchar Branch,CHIRO DISTRICT,10587
Hirna Branch,CHIRO DISTRICT,10084
JAJA BRANCH,CHIRO DISTRICT,10374
Kamona Branch,CHIRO DISTRICT,10533
Karamile Branch,CHIRO DISTRICT,10281
Kobo Branch,CHIRO DISTRICT,10338
Mechara Branch,CHIRO DISTRICT,10294
Melka Ballo Branch,CHIRO DISTRICT,10182
Michata Branch,CHIRO DISTRICT,10340
Miesso Branch,CHIRO DISTRICT,10505
Milqaye Branch,CHIRO DISTRICT,10535
Murtiguto Branch,CHIRO DISTRICT,10578
Oda Bultum Branch,CHIRO DISTRICT,10519
Sheik Mohammed Reshad,CHIRO DISTRICT,10377
Shenen Dhugo Branch,CHIRO DISTRICT,10296
Soka Branch,CHIRO DISTRICT,10623
Tullo Branch,CHIRO DISTRICT,10556
Abdi Qophe Branch,DIRE DAWA DISTRICT,10595
Abubeker Al-Siddiq Br,DIRE DAWA DISTRICT,10411
Afren Kelo Branch,DIRE DAWA DISTRICT,10045
Ahmed Imam Branch,DIRE DAWA DISTRICT,10341
Arefa Branch,DIRE DAWA DISTRICT,10464
Aw-Abadir Branch,DIRE DAWA DISTRICT,10246
Babile Branch,DIRE DAWA DISTRICT,10047
Badano Branch,DIRE DAWA DISTRICT,10245
Bekerware Branch,DIRE DAWA DISTRICT,10561
Bereka Branch,DIRE DAWA DISTRICT,10412
Biftu Branch,DIRE DAWA DISTRICT,10393
Bulullo Branch,DIRE DAWA DISTRICT,10518
Burka Tirtira Branch,DIRE DAWA DISTRICT,10408
Chalanqo Branch,DIRE DAWA DISTRICT,10247
Chinaksen Branch,DIRE DAWA DISTRICT,10242
Dire Dawa Branch,DIRE DAWA DISTRICT,10013
Diredawa Rashotel,DIRE DAWA DISTRICT,
Elemo Qiltu Branch,DIRE DAWA DISTRICT,10397
Fedis Branch,DIRE DAWA DISTRICT,10407
Fugnan Bira Branch,DIRE DAWA DISTRICT,10277
Gara Muleta Branch,DIRE DAWA DISTRICT,10269
Gode Branch,DIRE DAWA DISTRICT,10243
Goro Muti Branch,DIRE DAWA DISTRICT,10361
Greek Camp Branch,DIRE DAWA DISTRICT,10282
Hafatessa Branch,DIRE DAWA DISTRICT,10100
Haramaya Branch,DIRE DAWA DISTRICT,10074
Hikma Branch,DIRE DAWA DISTRICT,10410
Hundene Branch,DIRE DAWA DISTRICT,10046
Imam Ahmed Mesjid Bran,DIRE DAWA DISTRICT,10484
Iqra Branch,DIRE DAWA DISTRICT,10573
Jahan Jarso Branch,DIRE DAWA DISTRICT,10295
Jara Abageda Branch,DIRE DAWA DISTRICT,10339
Jigjiga Branch,DIRE DAWA DISTRICT,10038
Kali Branch,DIRE DAWA DISTRICT,10248
Kefira Branch,DIRE DAWA DISTRICT,10483
Kombolcha Branch,DIRE DAWA DISTRICT,10101
Kurfachale Branch,DIRE DAWA DISTRICT,10608
Laga Oda Branch,DIRE DAWA DISTRICT,10239
Mayu Muluke,DIRE DAWA DISTRICT,10402
Medinat Al-Munawer Br,DIRE DAWA DISTRICT,10418
Megalla Branch,DIRE DAWA DISTRICT,10283
Melka Jebdu Branch,DIRE DAWA DISTRICT,10276
